"","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5"
"Group002Sample0004",0.00763841167682871,0.0225333149082098,0.0081826611285487,0.0114392568055463,0.0167969636507721,0.00761137750482189,0.00367007849464336,0.00702333845548602,0.00275735869148819,0.00798555819276814,0.0262428772127446,0.936893232436229,0.896934487066915,2.18026191909597,0.715314051222399,0.287626227837817
"Group002Sample0005",0.00771193945637028,0.0171984535092833,0.00802516009586089,0.00964670165694521,0.0149802773033147,0.0142281261740368,0.00432094197636104,0.00736513315612564,0.00337357643170393,0.00999368677515817,0.0211882649217085,0.975701043041058,1.11644416564951,1.86670115011093,0.831907151402688,0.313924585106104
"Group002Sample0006",0.013245454324367,0.0392695166835155,0.0130792736300128,0.0159615581509948,0.0708637960564763,0.0484121630171672,0.00672464436633865,0.0111097178670621,0.00477764110538661,0.0196685521282666,0.0912334326642953,0.89345956141588,0.645519981747071,1.65993036377163,0.819423361195954,0.345777683964722
"Group002Sample0007",0.0093104965212519,0.0199645359692719,0.00984387359630072,0.0121227066576817,0.0185047570726039,0.0105497745361923,0.00461369689106561,0.00897459539681791,0.00343450578887115,0.00999984464205771,0.0172847879960257,0.901873699038823,1.24753098154305,1.80076038224147,0.812019450298508,0.255992976432101
"Group003Sample0001",0.00784393464494283,0.0161709686796503,0.00799525047639415,0.00934465985786561,0.0162605580961383,0.0115313066123478,0.00346105916476816,0.0068957065715791,0.00280990625826291,0.00843181643091039,0.000811554811717345,0.914911989497706,1.0530215359212,2.08679055575978,0.855595666188359,0.284976600609639
"Group003Sample0002",0.00713004597636966,0.0190867537170462,0.00690539227899473,0.00973310694723875,0.0142848601052111,0.0120272496043258,0.00332365494600841,0.00633485284725737,0.00245283044145542,0.00706995483436661,0.0395312591504053,0.844410381531902,0.881061916400978,1.95332988402591,0.709474612415901,0.273683687946384
"Group003Sample0003",0.0099365981568783,0.0254303770767516,0.00983759476476032,0.0126867196947402,0.0180087489760807,0.031452208312842,0.00494604302880003,0.00837813396284302,0.00364129256402256,0.0115334670725382,0.0215731947691907,0.865576680224626,0.985315867918411,1.70620935036104,0.775424617353129,0.292871259073859
"Group003Sample0004",0.00942457831062735,0.0212854317073827,0.00913433340212635,0.0135856097119056,0.0182202414216808,0.0105725420076334,0.00433650059896846,0.00818141107528604,0.00355819122535873,0.00900932696546479,0.0236194851025448,0.945297110176784,0.871823256534554,1.85898773372009,0.672353585582661,0.340106183684112
"Group003Sample0005",0.00694021743642911,0.0179574691684189,0.0072099347104754,0.00997379056349125,0.0135576940507431,0.00532898164652024,0.00323439251862221,0.00635380320526077,0.00217924047300342,0.0070584732377842,0.0237617848351319,0.894470614354664,0.955804352724923,2.3728463558719,0.722888120076147,0.267107364666854
"Group003Sample0006",0.00859617815272174,0.0212582693941057,0.00919172212469286,0.011702884718832,0.0154178511430065,0.00841206503153505,0.00446589379489305,0.00780780097001432,0.00349966387923911,0.0105154177847389,0.0258287565647938,0.916976596865765,1.15734664150481,1.89971330929285,0.785423623792669,0.420963157900288
"Group003Sample0007",0.0125227262176012,0.0730693881312061,0.0128389810367181,0.0149039433699666,0.0404352965053811,0.0433224881315814,0.00628817406349223,0.0112176867987984,0.00492797236868474,0.0183086738824521,0.0530452203660205,0.858472785665146,0.627451150127056,1.76477995748593,0.861448592363167,0.356859634732972
"Group004Sample0001",0.0200183803380369,0.22216691547292,0.0136882248256439,0.0239076065792605,0.0592704706337001,0.0419973390435183,0.00501207395638861,0.00985360461331089,0.00391452593888667,0.0151558495406397,0.0346945835254151,0.618510122753102,0.602786200599869,2.0851328232787,0.572546849483385,0.317145844865001
